hour,weekday,weekends,route
13.0,2172.0,1938.0,241
14.0,2608.0,1985.0,241
15.0,3014.0,1791.0,241
16.0,3333.0,1606.0,241
17.0,3610.0,1475.0,241
18.0,2711.0,1225.0,241
19.0,1491.0,1307.0,241
20.0,889.0,1151.0,241
21.0,651.0,731.0,241
22.0,448.0,410.0,241
23.0,299.0,266.0,241
0.0,49.0,88.0,261
1.0,32.0,50.0,261
2.0,26.0,40.0,261
3.0,39.0,29.0,261
4.0,147.0,24.0,261
5.0,467.0,60.0,261
6.0,1150.0,131.0,261
7.0,2424.0,227.0,261
8.0,2610.0,287.0,261
9.0,1476.0,403.0,261
10.0,971.0,513.0,261
11.0,850.0,617.0,261
12.0,878.0,649.0,261
13.0,1059.0,675.0,261
14.0,1421.0,659.0,261
15.0,1716.0,615.0,261
16.0,2034.0,575.0,261
17.0,2153.0,503.0,261
18.0,1643.0,442.0,261
19.0,837.0,424.0,261
20.0,435.0,393.0,261
21.0,274.0,286.0,261
22.0,177.0,161.0,261
23.0,102.0,87.0,261
0.0,1230.0,1925.0,405
1.0,787.0,1163.0,405
2.0,646.0,884.0,405
3.0,774.0,648.0,405
4.0,1839.0,688.0,405
5.0,4261.0,1145.0,405
6.0,6648.0,1916.0,405
7.0,7393.0,2695.0,405
8.0,7404.0,3826.0,405
9.0,7323.0,5224.0,405
10.0,7116.0,6390.0,405
11.0,7266.0,7085.0,405
12.0,7393.0,7370.0,405
13.0,7596.0,7351.0,405
14.0,7903.0,7413.0,405
15.0,8073.0,7180.0,405
16.0,7834.0,6671.0,405
17.0,7691.0,6280.0,405
18.0,7232.0,5803.0,405
19.0,6437.0,5708.0,405
20.0,5303.0,5264.0,405
21.0,4509.0,4261.0,405
22.0,3345.0,3007.0,405
23.0,2158.0,1805.0,405
0.0,944.0,1772.0,605
1.0,524.0,1021.0,605
2.0,442.0,859.0,605
3.0,474.0,515.0,605
4.0,1276.0,455.0,605
5.0,3369.0,781.0,605
6.0,5432.0,1312.0,605
7.0,6217.0,2041.0,605
8.0,6035.0,2934.0,605
9.0,5778.0,4079.0,605
10.0,5483.0,4897.0,605
11.0,5585.0,5347.0,605
12.0,5827.0,5555.0,605
13.0,6070.0,5801.0,605
14.0,6581.0,5993.0,605
15.0,7083.0,5571.0,605
16.0,7001.0,5161.0,605
17.0,6839.0,4840.0,605
18.0,6234.0,4572.0,605
19.0,5338.0,4540.0,605
20.0,4275.0,3976.0,605
21.0,3711.0,3373.0,605
22.0,2788.0,2492.0,605
23.0,1831.0,1525.0,605
